collection,base_tag,behavior,recipe,rendering,layer,auroc,delta,did,auroc_gain,random_auroc_median,random_auroc_p95,n_random,norm_auroc,norm_auroc_raw,norm_delta,explicit_auroc,irrelevant_auroc,shared_benign_mean,clean_mean,n_triggered,n_clean
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,27,0.9461805555555556,108.58433532714844,92.46305847167969,0.4097222222222222,0.6076388888888888,0.9336805555555555,25,0.6076388888888888,0.6076388888888888,65.73828125,0.9027777777777778,0.96875,170.41624450683594,169.32008361816406,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,28,0.6788194444444444,3.984863758087158,2.855114459991455,0.14236111111111105,0.6388888888888888,0.8312499999999998,25,0.796875,0.203125,-6.2815399169921875,0.6059027777777778,0.9791666666666666,-5.204435348510742,-2.076310873031616,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,0,0.5,0.0,0.0,0.0,0.5,0.5,25,0.5,0.5,0.0,0.5,0.5,0.0,0.0,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,1,0.027777777777777776,-0.05139687657356262,-0.0014689266681671143,0.0,0.8298611111111112,0.9871527777777778,25,0.6388888888888888,0.6388888888888888,0.05222511291503906,0.265625,0.008680555555555556,0.3315247595310211,0.331222802400589,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,2,0.3506944444444444,-0.018796369433403015,-0.001146368682384491,0.01909722222222221,0.7986111111111112,0.9954861111111111,25,0.859375,0.859375,0.2451019287109375,0.16666666666666666,0.0,0.10446519404649734,0.08723773807287216,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,3,0.3993055555555556,-0.02245384454727173,-0.006413280963897705,-0.020833333333333315,0.7847222222222222,0.9232638888888889,25,0.5260416666666667,0.4739583333333333,-0.03605079650878906,0.15625,0.9895833333333334,0.42630907893180847,0.4238665997982025,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,4,0.3229166666666667,-0.10202634334564209,-0.0147857666015625,-0.00694444444444442,0.7534722222222222,0.9652777777777777,25,0.8802083333333334,0.8802083333333334,0.6086883544921875,0.22569444444444445,0.9722222222222222,-1.890221118927002,-1.9090975522994995,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,5,0.4913194444444444,0.0007963180541992188,0.01317545771598816,0.048611111111111105,0.7621527777777778,0.9458333333333333,25,0.859375,0.859375,0.3559684753417969,0.5885416666666666,1.0,0.821742594242096,0.8097400665283203,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,6,0.6076388888888888,0.03730952739715576,0.025894880294799805,0.09027777777777768,0.7083333333333334,0.9003472222222222,25,0.859375,0.859375,0.39410400390625,0.9600694444444444,1.0,1.306380271911621,1.3263955116271973,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,7,0.3055555555555556,-0.09195125102996826,-0.056335121393203735,-0.10590277777777773,0.703125,0.9135416666666666,25,0.7135416666666666,0.7135416666666666,0.667022705078125,0.8680555555555556,1.0,0.5528297424316406,0.6300899386405945,24,24
